id_anonymisé;sexe;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;formule; âge;enfants;enfants_conduite_accompagne;revenus ;tranche-devis
ID_1;F;Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;25/02/2022 16:13;dev_integral;25;oui;non;[40k€+]; [900+€]
ID_2;F;Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022 21:07;dev_express;93;oui;oui;[40k€+]; [200-300€]
ID_3;F;Private;Pickup;no;0;4.0;z_Highly Rural/ Rural;24/01/2022 08:17;dev_express;46;oui;non;[20k€, 40k€]; [200-300€]
ID_4;F;Private;z_SUV;no;3;5.0;Highly Urban/ Urban;20/04/2022 03:46;dev_integral;4;non;non;[0, 20k€]; [200-300€]
ID_5;M;Commercial;Panel Truck;no;2;12.0;Highly Urban/ Urban;23/03/2022 01:32;dev_vip;69;non;non;[0, 20k€]; [500-800€]
ID_6;F;Private;z_SUV;no;2;15.0;z_Highly Rural/ Rural;23/03/2022 22:20;dev_premium;33;oui;non;[40k€+]; [900+€]
ID_7;F;Commercial;Minivan;no;0;9.0;z_Highly Rural/ Rural;13/03/2022 01:10;dev_express;84;oui;oui;[40k€+]; [200-300€]
ID_8;M;Private;z_SUV;no;1;10.0;Highly Urban/ Urban;09/03/2022 03:43;dev_premium;69;non;non;[40k€+]; [900+€]
ID_9;M;Private;Minivan;no;0;14.0;Highly Urban/ Urban;29/01/2022 10:17;dev_premium;69;non;non;[40k€+]; [900+€]
ID_10;F;Commercial;Panel Truck;yes;1;10.0;Highly Urban/ Urban;26/03/2022 07:37;dev_integral;51;non;non;[0, 20k€]; [900+€]
ID_11;F;Private;Minivan;no;0;10.0;Highly Urban/ Urban;26/05/2022 05:51;dev_express;58;oui;oui;[20k€, 40k€]; [200-300€]
ID_12;M;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;27/01/2022 09:33;dev_premium;8;oui;non;[20k€, 40k€]; [900+€]
ID_13;F;Private;z_SUV;no;0;18.0;Highly Urban/ Urban;08/05/2022 13:32;dev_express;74;non;non;[40k€+]; [200-300€]
ID_14;M;Commercial;Van;no;5;6.0;z_Highly Rural/ Rural;02/05/2022 08:44;dev_integral;7;non;non;[0, 20k€]; [900+€]
ID_15;M;Private;Minivan;no;0;1.0;Highly Urban/ Urban;15/04/2022 13:09;dev_integral;79;oui;non;[20k€, 40k€]; [900+€]
ID_16;M;Private;Minivan;no;0;13.0;Highly Urban/ Urban;11/05/2022 02:24;dev_express;87;non;non;[40k€+]; [200-300€]
ID_17;F;Private;z_SUV;no;0;15.0;Highly Urban/ Urban;12/04/2022 01:20;dev_integral;52;non;non;[40k€+]; [900+€]
ID_18;F;Commercial;Van;yes;1;8.0;Highly Urban/ Urban;04/03/2022 09:15;dev_express;89;non;non;[40k€+]; [200-300€]
ID_19;F;Private;Minivan;yes;0;11.0;Highly Urban/ Urban;05/02/2022 17:39;dev_express;70;non;non;[40k€+]; [200-300€]
ID_20;F;Private;z_SUV;no;0;10.0;Highly Urban/ Urban;25/04/2022 14:43;dev_integral;85;non;non;[40k€+]; [200-300€]
ID_21;M;Private;Minivan;no;0;16.0;z_Highly Rural/ Rural;20/03/2022 03:44;dev_express;37;oui;non;[40k€+]; [200-300€]
ID_22;M;Private;Minivan;no;1;0;Highly Urban/ Urban;27/03/2022 09:22;dev_premium;93;oui;oui;[20k€, 40k€]; [900+€]
ID_23;F;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;16/05/2022 02:39;dev_premium;25;non;non;[0, 20k€]; [900+€]
ID_24;F;Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;06/02/2022 07:52;dev_premium;84;oui;non;[40k€+]; [900+€]
ID_25;M;Commercial;Pickup;no;1;1.0;Highly Urban/ Urban;27/04/2022 15:06;dev_express;20;non;non;[20k€, 40k€]; [200-300€]
ID_26;M;Private;Minivan;yes;1;0;z_Highly Rural/ Rural;13/04/2022 00:52;dev_express;67;non;non;[0, 20k€]; [200-300€]
